Season,RANK,NAME,TEAM,POS,SALARY,YEARS,TOTAL VALUE
2014 - 2015,1,Shea Weber,NSH,D,"$14,000,000 ",1 (2014),"$14,000,000 "
2014 - 2015,2,Corey Perry,ANA,F,"$9,000,000 ",1 (2014),"$9,000,000 "
2014 - 2015,3,Patrice Bergeron,BOS,C,"$8,750,000 ",1 (2014),"$8,750,000 "
2014 - 2015,3,Ryan Getzlaf,ANA,C,"$8,750,000 ",1 (2014),"$8,750,000 "
2014 - 2015,5,Tuukka Rask,BOS,G,"$7,500,000 ",1 (2014),"$7,500,000 "
2014 - 2015,6,Tyler Ennis,BUF,C,"$7,300,000 ",1 (2014),"$7,300,000 "
2014 - 2015,7,Zdeno Chara,BOS,D,"$7,000,000 ",1 (2014),"$7,000,000 "
2014 - 2015,8,Matt Moulson,BUF,LW,"$6,000,000 ",1 (2014),"$6,000,000 "
2014 - 2015,8,Mike Smith,ARI,G,"$6,000,000 ",1 (2014),"$6,000,000 "
2014 - 2015,8,Milan Lucic,BOS,LW,"$6,000,000 ",1 (2014),"$6,000,000 "
2014 - 2015,11,Keith Yandle,ARI,D,"$5,500,000 ",1 (2014),"$5,500,000 "
2014 - 2015,11,Keith Yandle,NYR,D,"$5,500,000 ",1 (2014),"$5,500,000 "
2014 - 2015,13,Brian Gionta,BUF,RW,"$5,250,000 ",1 (2014),"$5,250,000 "
2014 - 2015,13,David Krejci,BOS,C,"$5,250,000 ",1 (2014),"$5,250,000 "
2014 - 2015,15,Shane Doan,ARI,RW,"$5,050,000 ",1 (2014),"$5,050,000 "
2014 - 2015,16,Ryan Kesler,ANA,C,"$5,000,000 ",1 (2014),"$5,000,000 "
2014 - 2015,16,Sam Gagner,ARI,C,"$5,000,000 ",1 (2014),"$5,000,000 "
2014 - 2015,16,Tyler Myers,WPG,D,"$5,000,000 ",1 (2014),"$5,000,000 "
2014 - 2015,19,Brad Marchand,BOS,LW,"$4,500,000 ",1 (2014),"$4,500,000 "
2014 - 2015,19,Loui Eriksson,BOS,RW,"$4,500,000 ",1 (2014),"$4,500,000 "
2014 - 2015,21,Chris Stewart,BUF,RW,"$4,200,000 ",1 (2014),"$4,200,000 "
2014 - 2015,21,Chris Stewart,MIN,RW,"$4,200,000 ",1 (2014),"$4,200,000 "
2014 - 2015,23,Andrej Meszaros,BUF,D,"$4,125,000 ",1 (2014),"$4,125,000 "
2014 - 2015,24,Cam Fowler,ANA,D,"$4,000,000 ",1 (2014),"$4,000,000 "
2014 - 2015,24,Dennis Seidenberg,BOS,D,"$4,000,000 ",1 (2014),"$4,000,000 "
2014 - 2015,24,Drew Stafford,WPG,RW,"$4,000,000 ",1 (2014),"$4,000,000 "
2014 - 2015,24,Oliver Ekman-Larsson,ARI,D,"$4,000,000 ",1 (2014),"$4,000,000 "
2014 - 2015,24,Zbynek Michalek,ARI,D,"$4,000,000 ",1 (2014),"$4,000,000 "
2014 - 2015,29,Josh Gorges,BUF,D,"$3,900,000 ",1 (2014),"$3,900,000 "
2014 - 2015,30,Antoine Vermette,CHI,C,"$3,750,000 ",1 (2014),"$3,750,000 "
2014 - 2015,30,Antoine Vermette,ARI,C,"$3,750,000 ",1 (2014),"$3,750,000 "
2014 - 2015,30,Eric Brewer,ANA,D,"$3,750,000 ",1 (2014),"$3,750,000 "
2014 - 2015,33,Cody Hodgson,BUF,C,"$3,500,000 ",1 (2014),"$3,500,000 "
2014 - 2015,33,Francois Beauchemin,ANA,D,"$3,500,000 ",1 (2014),"$3,500,000 "
2014 - 2015,33,Sheldon Souray,ANA,D,"$3,500,000 ",1 (2014),"$3,500,000 "
2014 - 2015,36,Clayton Stoner,ANA,D,"$3,250,000 ",1 (2014),"$3,250,000 "
2014 - 2015,36,Martin Hanzal,ARI,C,"$3,250,000 ",1 (2014),"$3,250,000 "
2014 - 2015,38,Ilya Bryzgalov,ANA,G,"$2,880,000 ",1 (2014),"$2,880,000 "
2014 - 2015,39,Mikkel Boedker,ARI,LW,"$2,800,000 ",1 (2014),"$2,800,000 "
2014 - 2015,40,Andrew Cogliano,ANA,C,"$2,700,000 ",1 (2014),"$2,700,000 "
2014 - 2015,41,Michal Neuvirth,BUF,G,"$2,600,000 ",1 (2014),"$2,600,000 "
2014 - 2015,42,Rene Bourque,ANA,LW,"$2,500,000 ",1 (2014),"$2,500,000 "
2014 - 2015,42,Rene Bourque,CBJ,LW,"$2,500,000 ",1 (2014),"$2,500,000 "
2014 - 2015,42,Torrey Mitchell,MTL,C,"$2,500,000 ",1 (2014),"$2,500,000 "
2014 - 2015,42,Torrey Mitchell,BUF,C,"$2,500,000 ",1 (2014),"$2,500,000 "
2014 - 2015,46,Lauri Korpikoski,ARI,LW,"$2,300,000 ",1 (2014),"$2,300,000 "
2014 - 2015,47,Martin Erat,ARI,RW,"$2,250,000 ",1 (2014),"$2,250,000 "
2014 - 2015,48,Cody McCormick,BUF,C,"$2,000,000 ",1 (2014),"$2,000,000 "
2014 - 2015,49,Adam McQuaid,BOS,D,"$1,800,000 ",1 (2014),"$1,800,000 "
2014 - 2015,50,Chris Kelly,BOS,C,"$1,700,000 ",1 (2014),"$1,700,000 "
2014 - 2015,51,Nate Thompson,ANA,C,"$1,600,000 ",1 (2014),"$1,600,000 "
2014 - 2015,52,Marc Savard,BOS,C,"$1,500,000 ",1 (2014),"$1,500,000 "
2014 - 2015,52,Marcus Foligno,BUF,LW,"$1,500,000 ",1 (2014),"$1,500,000 "
2014 - 2015,52,Mike Weber,BUF,D,"$1,500,000 ",1 (2014),"$1,500,000 "
2014 - 2015,55,Kyle Palmieri,ANA,RW,"$1,450,000 ",1 (2014),"$1,450,000 "
2014 - 2015,56,Matt Beleskey,ANA,LW,"$1,400,000 ",1 (2014),"$1,400,000 "
2014 - 2015,56,Reilly Smith,BOS,RW,"$1,400,000 ",1 (2014),"$1,400,000 "
2014 - 2015,56,Torey Krug,BOS,D,"$1,400,000 ",1 (2014),"$1,400,000 "
2014 - 2015,59,Daniel Paille,BOS,LW,"$1,300,000 ",1 (2014),"$1,300,000 "
2014 - 2015,60,Jhonas Enroth,DAL,G,"$1,250,000 ",1 (2014),"$1,250,000 "
2014 - 2015,60,Matthew Bartkowski,BOS,D,"$1,250,000 ",1 (2014),"$1,250,000 "
2014 - 2015,60,Sami Vatanen,ANA,D,"$1,250,000 ",1 (2014),"$1,250,000 "
2014 - 2015,63,Michael Stone,ARI,D,"$1,200,000 ",1 (2014),"$1,200,000 "
2014 - 2015,64,B.J. Crombeen,ARI,RW,"$1,150,000 ",1 (2014),"$1,150,000 "
2014 - 2015,65,Ben Lovejoy,ANA,D,"$1,100,000 ",1 (2014),"$1,100,000 "
2014 - 2015,65,Ben Lovejoy,PIT,D,"$1,100,000 ",1 (2014),"$1,100,000 "
2014 - 2015,65,Mark Fistric,ANA,D,"$1,100,000 ",1 (2014),"$1,100,000 "
2014 - 2015,68,Carl Soderberg,BOS,C,"$1,000,000 ",1 (2014),"$1,000,000 "
2014 - 2015,68,Dany Heatley,ANA,LW,"$1,000,000 ",1 (2014),"$1,000,000 "
2014 - 2015,68,Frederik Andersen,ANA,G,"$1,000,000 ",1 (2014),"$1,000,000 "
2014 - 2015,71,Joe Vitale,ARI,C,"$950,000 ",1 (2014),"$950,000 "
2014 - 2015,72,David Pastrnak,BOS,RW,"$925,000 ",1 (2014),"$925,000 "
2014 - 2015,72,Hampus Lindholm,ANA,D,"$925,000 ",1 (2014),"$925,000 "
2014 - 2015,72,Nikita Zadorov,BUF,D,"$925,000 ",1 (2014),"$925,000 "
2014 - 2015,72,Rasmus Ristolainen,BUF,D,"$925,000 ",1 (2014),"$925,000 "
2014 - 2015,72,Rickard Rakell,ANA,C,"$925,000 ",1 (2014),"$925,000 "
2014 - 2015,72,William Karlsson,ANA,C,"$925,000 ",1 (2014),"$925,000 "
2014 - 2015,72,William Karlsson,CBJ,C,"$925,000 ",1 (2014),"$925,000 "
2014 - 2015,72,Zemgus Girgensons,BUF,C,"$925,000 ",1 (2014),"$925,000 "
2014 - 2015,80,Kyle Chipchura,ARI,C,"$875,000 ",1 (2014),"$875,000 "
2014 - 2015,81,Lucas Lessio,ARI,LW,"$867,500 ",1 (2014),"$867,500 "
2014 - 2015,82,Jakob Silfverberg,ANA,RW,"$850,500 ",1 (2014),"$850,500 "
2014 - 2015,83,Tobias Rieder,ARI,RW,"$842,500 ",1 (2014),"$842,500 "
2014 - 2015,84,Connor Murphy,ARI,D,"$832,500 ",1 (2014),"$832,500 "
2014 - 2015,85,Brandon Gormley,ARI,D,"$810,000 ",1 (2014),"$810,000 "
2014 - 2015,85,Emerson Etem,ANA,LW,"$810,000 ",1 (2014),"$810,000 "
2014 - 2015,87,David Moss,ARI,RW,"$800,000 ",1 (2014),"$800,000 "
2014 - 2015,87,Devan Dubnyk,MIN,G,"$800,000 ",1 (2014),"$800,000 "
2014 - 2015,87,Devante Smith-Pelly,ANA,RW,"$800,000 ",1 (2014),"$800,000 "
2014 - 2015,90,John Gibson,ANA,G,"$787,500 ",1 (2014),"$787,500 "
2014 - 2015,91,Kevan Miller,BOS,D,"$750,000 ",1 (2014),"$750,000 "
2014 - 2015,92,Seth Griffith,BOS,C,"$742,500 ",1 (2014),"$742,500 "
2014 - 2015,93,Brian Flynn,MTL,C,"$650,000 ",1 (2014),"$650,000 "
2014 - 2015,93,Brian Flynn,BUF,C,"$650,000 ",1 (2014),"$650,000 "
2014 - 2015,95,Tim Jackman,ANA,RW,"$637,500 ",1 (2014),"$637,500 "
2014 - 2015,96,Brandon McMillan,ARI,LW,"$625,000 ",1 (2014),"$625,000 "
2014 - 2015,96,Nicolas Deslauriers,BUF,LW,"$625,000 ",1 (2014),"$625,000 "
2014 - 2015,98,Craig Cunningham,ARI,RW,"$600,000 ",1 (2014),"$600,000 "
2014 - 2015,98,Craig Cunningham,BOS,RW,"$600,000 ",1 (2014),"$600,000 "
2014 - 2015,98,Niklas Svedberg,BOS,G,"$600,000 ",1 (2014),"$600,000 "
2014 - 2015,98,Simon Gagne,BOS,LW,"$600,000 ",1 (2014),"$600,000 "
2014 - 2015,98,Zach Trotman,BOS,D,"$600,000 ",1 (2014),"$600,000 "
2014 - 2015,103,Chris Summers,ARI,D,"$575,000 ",1 (2014),"$575,000 "
2014 - 2015,103,Chris Summers,NYR,D,"$575,000 ",1 (2014),"$575,000 "
2014 - 2015,103,Patrick Maroon,ANA,LW,"$575,000 ",1 (2014),"$575,000 "
2013 - 2014,1,Shea Weber,NSH,D,"$14,000,000 ",1 (2013),"$14,000,000 "
2013 - 2014,2,Ryan Suter,MIN,D,"$12,000,000 ",1 (2013),"$12,000,000 "
2013 - 2014,2,Sidney Crosby,PIT,C,"$12,000,000 ",1 (2013),"$12,000,000 "
2013 - 2014,2,Zach Parise,MIN,LW,"$12,000,000 ",1 (2013),"$12,000,000 "
2013 - 2014,5,Eric Staal,CAR,C,"$9,250,000 ",1 (2013),"$9,250,000 "
2013 - 2014,6,Alex Ovechkin,WSH,RW,"$9,000,000 ",1 (2013),"$9,000,000 "
2013 - 2014,6,Brad Richards,NYR,C,"$9,000,000 ",1 (2013),"$9,000,000 "
2013 - 2014,8,Steven Stamkos,TBL,C,"$8,000,000 ",1 (2013),"$8,000,000 "
2013 - 2014,8,Zdeno Chara,BOS,D,"$8,000,000 ",1 (2013),"$8,000,000 "
2013 - 2014,10,Marian Hossa,CHI,RW,"$7,900,000 ",1 (2013),"$7,900,000 "
2013 - 2014,11,Rick Nash,NYR,LW,"$7,800,000 ",1 (2013),"$7,800,000 "
2013 - 2014,12,Duncan Keith,CHI,D,"$7,650,000 ",1 (2013),"$7,650,000 "
2013 - 2014,13,Mike Richards,LAK,C,"$7,600,000 ",1 (2013),"$7,600,000 "
2013 - 2014,14,Anze Kopitar,LAK,C,"$7,500,000 ",1 (2013),"$7,500,000 "
2013 - 2014,14,Evgeni Malkin,PIT,C,"$7,500,000 ",1 (2013),"$7,500,000 "
2013 - 2014,14,Henrik Zetterberg,DET,LW,"$7,500,000 ",1 (2013),"$7,500,000 "
2013 - 2014,14,Marian Gaborik,LAK,RW,"$7,500,000 ",1 (2013),"$7,500,000 "
2013 - 2014,18,Mikko Koivu,MIN,C,"$7,290,000 ",1 (2013),"$7,290,000 "
2013 - 2014,19,Brian Campbell,FLA,D,"$7,142,857 ",1 (2013),"$7,142,857 "
2013 - 2014,20,Alexander Semin,CAR,RW,"$7,000,000 ",1 (2013),"$7,000,000 "
2013 - 2014,20,Chris Pronger,PHI,D,"$7,000,000 ",1 (2013),"$7,000,000 "
2013 - 2014,20,Corey Perry,ANA,F,"$7,000,000 ",1 (2013),"$7,000,000 "
2013 - 2014,20,Jonathan Quick,LAK,G,"$7,000,000 ",1 (2013),"$7,000,000 "
2013 - 2014,20,Mike Cammalleri,CGY,C,"$7,000,000 ",1 (2013),"$7,000,000 "
2013 - 2014,20,Pekka Rinne,NSH,G,"$7,000,000 ",1 (2013),"$7,000,000 "
2013 - 2014,26,Patrick Marleau,SJS,LW,"$6,900,000 ",1 (2013),"$6,900,000 "
2013 - 2014,27,Roberto Luongo,FLA,G,"$6,714,000 ",1 (2013),"$6,714,000 "
2013 - 2014,28,Drew Doughty,LAK,D,"$6,700,000 ",1 (2013),"$6,700,000 "
2013 - 2014,28,Pavel Datsyuk,DET,C,"$6,700,000 ",1 (2013),"$6,700,000 "
2013 - 2014,30,Dan Boyle,SJS,D,"$6,666,666 ",1 (2013),"$6,666,666 "
2013 - 2014,31,Cam Ward,CAR,G,"$6,600,000 ",1 (2013),"$6,600,000 "
2013 - 2014,31,Jay Bouwmeester,STL,D,"$6,600,000 ",1 (2013),"$6,600,000 "
2013 - 2014,31,Paul Stastny,COL,C,"$6,600,000 ",1 (2013),"$6,600,000 "
2013 - 2014,34,Jason Garrison,VAN,D,"$6,500,000 ",1 (2013),"$6,500,000 "
2013 - 2014,34,Jeff Carter,LAK,C,"$6,500,000 ",1 (2013),"$6,500,000 "
2013 - 2014,34,Jonathan Toews,CHI,C,"$6,500,000 ",1 (2013),"$6,500,000 "
2013 - 2014,34,Martin St. Louis,NYR,RW,"$6,500,000 ",1 (2013),"$6,500,000 "
2013 - 2014,34,Patrick Kane,CHI,RW,"$6,500,000 ",1 (2013),"$6,500,000 "
2013 - 2014,34,Patrick Sharp,CHI,LW,"$6,500,000 ",1 (2013),"$6,500,000 "
2013 - 2014,34,Ryan Getzlaf,ANA,C,"$6,500,000 ",1 (2013),"$6,500,000 "
2013 - 2014,34,Ryan O`Reilly,COL,C,"$6,500,000 ",1 (2013),"$6,500,000 "
2013 - 2014,42,Thomas Vanek,MTL,LW,"$6,400,000 ",1 (2013),"$6,400,000 "
2013 - 2014,43,Kari Lehtonen,DAL,G,"$6,250,000 ",1 (2013),"$6,250,000 "
2013 - 2014,43,Ryan Miller,STL,G,"$6,250,000 ",1 (2013),"$6,250,000 "
2013 - 2014,45,Daniel Sedin,VAN,LW,"$6,100,000 ",1 (2013),"$6,100,000 "
2013 - 2014,45,Henrik Sedin,VAN,C,"$6,100,000 ",1 (2013),"$6,100,000 "
2013 - 2014,47,Alex Burrows,VAN,RW,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,James Wisniewski,CBJ,D,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Joe Thornton,SJS,C,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Jordan Eberle,EDM,RW,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Jordan Staal,CAR,C,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Kimmo Timonen,PHI,D,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Mike Green,WSH,D,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Milan Michalek,OTT,LW,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Nicklas Backstrom,WSH,C,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Niklas Kronwall,DET,D,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Scott Hartnell,PHI,LW,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Taylor Hall,EDM,LW,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Tuukka Rask,BOS,G,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Tyler Myers,BUF,D,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,47,Vincent Lecavalier,PHI,C,"$6,000,000 ",1 (2013),"$6,000,000 "
2013 - 2014,62,Brent Burns,SJS,RW,"$5,760,000 ",1 (2013),"$5,760,000 "
2013 - 2014,63,Andrei Markov,MTL,D,"$5,750,000 ",1 (2013),"$5,750,000 "
2013 - 2014,63,Carey Price,MTL,G,"$5,750,000 ",1 (2013),"$5,750,000 "
2013 - 2014,63,Dustin Byfuglien,WPG,D,"$5,750,000 ",1 (2013),"$5,750,000 "
2013 - 2014,63,Marc-Andre Fleury,PIT,G,"$5,750,000 ",1 (2013),"$5,750,000 "
2013 - 2014,63,Matthew Carle,TBL,D,"$5,750,000 ",1 (2013),"$5,750,000 "
2013 - 2014,63,Toby Enstrom,WPG,D,"$5,750,000 ",1 (2013),"$5,750,000 "
2013 - 2014,69,Bobby Ryan,OTT,RW,"$5,562,500 ",1 (2013),"$5,562,500 "
2013 - 2014,70,Ales Hemsky,OTT,RW,"$5,500,000 ",1 (2013),"$5,500,000 "
2013 - 2014,70,Andrej Meszaros,BOS,D,"$5,500,000 ",1 (2013),"$5,500,000 "
2013 - 2014,70,Braydon Coburn,PHI,D,"$5,500,000 ",1 (2013),"$5,500,000 "
2013 - 2014,70,Dion Phaneuf,TOR,D,"$5,500,000 ",1 (2013),"$5,500,000 "
2013 - 2014,70,Erik Karlsson,OTT,D,"$5,500,000 ",1 (2013),"$5,500,000 "
2013 - 2014,70,Jason Pominville,MIN,RW,"$5,500,000 ",1 (2013),"$5,500,000 "
2013 - 2014,70,Jimmy Howard,DET,G,"$5,500,000 ",1 (2013),"$5,500,000 "
2013 - 2014,70,Milan Lucic,BOS,LW,"$5,500,000 ",1 (2013),"$5,500,000 "
2013 - 2014,70,Patrik Elias,NJD,LW,"$5,500,000 ",1 (2013),"$5,500,000 "
2013 - 2014,70,Shane Doan,ARI,RW,"$5,500,000 ",1 (2013),"$5,500,000 "
2013 - 2014,80,Phil Kessel,TOR,RW,"$5,400,000 ",1 (2013),"$5,400,000 "
2013 - 2014,81,David Krejci,BOS,C,"$5,250,000 ",1 (2013),"$5,250,000 "
2013 - 2014,81,Joffrey Lupul,TOR,LW,"$5,250,000 ",1 (2013),"$5,250,000 "
2013 - 2014,81,Keith Yandle,ARI,D,"$5,250,000 ",1 (2013),"$5,250,000 "
2013 - 2014,84,Henrik Lundqvist,NYR,G,"$5,125,000 ",1 (2013),"$5,125,000 "
2013 - 2014,85,Alex Pietrangelo,STL,D,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Brent Seabrook,CHI,D,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Brian Gionta,MTL,RW,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Claude Giroux,PHI,C,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Dany Heatley,MIN,LW,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Dennis Wideman,CGY,D,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,James Neal,PIT,LW,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Jamie Benn,DAL,LW,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Jason Spezza,OTT,C,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Johan Franzen,DET,C,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,John Tavares,NYI,C,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Kevin Bieksa,VAN,D,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Marc Savard,BOS,C,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Mark Streit,PHI,D,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Martin Brodeur,NJD,G,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Martin Havlat,SJS,RW,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Nathan Horton,CBJ,C,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Paul Martin,PIT,D,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Ryan Kesler,VAN,C,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Sergei Bobrovsky,CBJ,G,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Sergei Gonchar,DAL,D,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Tomas Plekanec,MTL,C,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,85,Tuomo Ruutu,NJD,RW,"$5,000,000 ",1 (2013),"$5,000,000 "
2013 - 2014,108,Ryane Clowe,NJD,LW,"$4,850,000 ",1 (2013),"$4,850,000 "
2013 - 2014,109,Ryan Callahan,TBL,RW,"$4,825,000 ",1 (2013),"$4,825,000 "
2013 - 2014,110,David Backes,STL,C,"$4,750,000 ",1 (2013),"$4,750,000 "
2013 - 2014,111,Brandon Dubinsky,CBJ,C,"$4,650,000 ",1 (2013),"$4,650,000 "
2013 - 2014,112,Alex Goligoski,DAL,D,"$4,600,000 ",1 (2013),"$4,600,000 "
2013 - 2014,112,Blake Wheeler,WPG,RW,"$4,600,000 ",1 (2013),"$4,600,000 "
2013 - 2014,112,Kris Versteeg,CHI,RW,"$4,600,000 ",1 (2013),"$4,600,000 "
2013 - 2014,112,Loui Eriksson,BOS,RW,"$4,600,000 ",1 (2013),"$4,600,000 "
2013 - 2014,116,Patrice Bergeron,BOS,C,"$4,550,000 ",1 (2013),"$4,550,000 "
2013 - 2014,117,Andrew Ladd,WPG,LW,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,David Booth,VAN,LW,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,David Clarkson,TOR,RW,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Evander Kane,WPG,LW,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Fedor Tyutin,CBJ,D,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Jakub Voracek,PHI,RW,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Jaroslav Halak,WSH,G,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Jonas Hiller,ANA,G,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Joni Pitkanen,CAR,D,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Mike Ribeiro,ARI,C,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Olli Jokinen,WPG,C,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,R.J. Umberger,CBJ,LW,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Ray Whitney,DAL,LW,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Teddy Purcell,TBL,RW,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Tim Gleason,TOR,D,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,117,Tyler Seguin,DAL,C,"$4,500,000 ",1 (2013),"$4,500,000 "
2013 - 2014,133,Sam Gagner,EDM,C,"$4,400,000 ",1 (2013),"$4,400,000 "
2013 - 2014,134,Jeff Skinner,CAR,LW,"$4,350,000 ",1 (2013),"$4,350,000 "
2013 - 2014,135,Anton Volchenkov,NJD,D,"$4,250,000 ",1 (2013),"$4,250,000 "
2013 - 2014,135,Dan Hamhuis,VAN,D,"$4,250,000 ",1 (2013),"$4,250,000 "
2013 - 2014,135,Ed Jovanovski,FLA,D,"$4,250,000 ",1 (2013),"$4,250,000 "
2013 - 2014,135,John-Michael Liles,CAR,D,"$4,250,000 ",1 (2013),"$4,250,000 "
2013 - 2014,135,Marc-Edouard Vlasic,SJS,D,"$4,250,000 ",1 (2013),"$4,250,000 "
2013 - 2014,140,Mike Fisher,NSH,C,"$4,200,000 ",1 (2013),"$4,200,000 "
2013 - 2014,141,Chris Stewart,BUF,RW,"$4,100,000 ",1 (2013),"$4,100,000 "
2013 - 2014,142,Antti Niemi,SJS,G,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Brad Marchand,BOS,LW,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Brooks Laich,WSH,C,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Bryan Little,WPG,C,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Cam Fowler,ANA,D,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Christian Ehrhoff,BUF,D,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Cory Schneider,NJD,G,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Daniel Briere,MTL,C,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,David Jones,CGY,RW,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Derek Roy,STL,C,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Drew Stafford,BUF,RW,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Eric Brewer,TBL,D,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Erik Cole,DAL,LW,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Jiri Hudler,CGY,C,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Joe Pavelski,SJS,C,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,John Carlson,WSH,D,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Kyle Quincey,DET,D,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Mark Giordano,CGY,D,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Max Pacioretty,MTL,LW,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Mike Smith,ARI,G,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,P.A. Parenteau,COL,RW,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Pascal Dupuis,PIT,RW,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Paul Gaustad,NSH,C,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Rene Bourque,MTL,RW,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Rob Scuderi,PIT,D,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Ryan McDonagh,NYR,D,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Shawn Horcoff,DAL,C,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Stephen Weiss,DET,C,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,T.J. Oshie,STL,RW,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Valtteri Filppula,TBL,C,"$4,000,000 ",1 (2013),"$4,000,000 "
