Rank,LastName,FirstName,Team,Pos,GP,TOI,GF,GA,GF60,GA60,GF%,TM GF60,TM GA60,TM GF%,GF60 RelTM,GA60 RelTM,GF% RelTM,GF60 Rel,GA60 Rel,GF% Rel,Opp GF60,Opp GA60,Opp GF%,SF,SA,Sh%,Sv%,PDO,TM Sh%,TM Sv%,Sh% RelTM,Sv% RelTM,Sh% Rel,Sv% Rel,Opp Sh%,Opp Sv%,CF,CA,CF60,CA60,CF%,CF60 RelTM,CA60 RelTM,CF% RelTM,CF60 Rel,CA60 Rel,CF% Rel,Opp CF60,Opp CA60,Opp CF%,CSh%,CSv%,CPDO,TM CSh%,TM CSv%,CSh% RelTM,CSv% RelTM,CSh% Rel,CSv% Rel,Opp CSh%,Opp CSv%,%ofTeam TOI,%ofTeam GF,%ofTeam GA,%ofTeam CF,%ofTeam CA,%ofTeam OZFO,%ofTeam DZFO,%ofTeam NZFO,G,A,FirstA,Pts,Pri. Pts,Shots,iCorsi,iSh%,iCSh%,Goals per60,Assists per60,FirstA per60,Points per60,Pri.Pts  per60,Shots per60,iCorsi per60,IGP,IAP,IPP,IPPP,TotFO,NZFO,DZFO,OZFO,NZFO%,DZFO%,OZFO%,
1,RENDULIC, BORNA,Vancouver,F(C),1,4.85,0,0,0,0,0,1.3559,2.678,33.61,-1.3559,-2.678,-33.61,-2.0809,-3.1214,-40,2.2078,2.9874,42.5,5,1,0,100,100,4.9443,90.5344,-4.9443,9.4656,-9.0909,11.1111,8.0402,90.2293,9,1,111.34,12.371,90,58.3166,-35.9911,37.7,66.6003,-31.3283,39.41,50.2827,55.7839,47.41,0,100,100,2.5571,94.4625,-2.5571,5.5375,-4.6512,7.1429,4.3908,94.6447,7.7579,0,0,17.3077,2.3256,15.7895,0,5.2632,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12.3711,12.3711,0,0,0,0,4,1,0,3,25,0,75
2,COMPHER, JT,Colorado,F(LW),1,11.2167,0,1,0,5.349,0,1.8423,3.1923,36.59,-1.8423,2.1569,-36.59,-1.2299,4.1193,-50,2.4214,2.5038,49.16,5,2,0,50,50,6.7656,89.7386,-6.7656,-39.7386,-5.5556,-47.5,8.2069,91.4005,13,3,69.539,16.048,81.25,17.5849,-39.2424,32.81,5.5831,-61.4379,36.03,54.8974,57.0755,49.03,0,66.6667,66.6667,3.546,94.2263,-3.546,-27.5596,-1.9231,-31.746,4.4108,95.6132,18.6944,0,50,20,4.5455,37.5,12.5,15.3846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.3492,0,0,0,0,8,2,3,3,25,37.5,37.5
3,KOSSILA, KALLE,Anaheim,F(C),1,6.9,0,0,0,0,0,2.0886,2.1953,48.75,-2.0886,-2.1953,-48.75,0,-4.5198,0,2.7299,2.6714,50.54,2,2,0,100,100,8.5782,92.8943,-8.5782,7.1057,0,19.0476,9.6443,90.93,7,2,60.87,17.391,77.78,15.0907,-40.5458,33.64,7.7622,-25.5465,22.48,51.9335,57.0528,47.65,0,100,100,4.5623,96.2108,-4.5623,3.7892,0,10.5263,5.2566,95.3177,11.5,0,0,12.963,5,15,0,22.2222,0,0,0,0,0,1,2,0,0,0,0,0,0,0,8.6957,17.3913,0,0,0,0,7,4,0,3,57.1429,0,42.8571
4,TROPP, COREY,Anaheim,F(RW),1,9.46667,0,1,0,6.338,0,2.3848,2.0656,53.59,-2.3848,4.2724,-53.59,-2.3747,3.9634,-50,2.1456,2.9215,42.34,5,2,0,50,50,9.0266,93.1091,-9.0266,-43.1091,-6.4516,-38.8889,7.924,91.1127,10,4,63.38,25.352,71.43,13.1639,-33.0609,25.2,-9.0472,-18.5793,9.18,50.4814,61.3134,45.16,0,75,75,4.7491,96.4638,-4.7491,-21.4638,-3.2787,-19.5946,4.2502,95.2351,15.7778,0,33.3333,14.0845,9.7561,26.3158,7.1429,35.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,1,5,45.4545,9.0909,45.4545
5,LAUGHTON, SCOTT,Philadelphia,F(LW),2,20.4833,2,2,5.858,5.858,50,2.1645,2.5993,45.44,3.6939,3.2591,4.56,4.6526,2.8439,21.43,2.6671,2.6773,49.9,19,6,10.5263,66.6667,77.193,7.4903,90.521,3.036,-23.8543,6.8226,-22.4638,9.1141,91.0451,25,10,73.23,29.292,71.43,17.0609,-25.2139,20.68,7.5126,-26.7789,17.47,54.9936,56.4684,49.34,8,80,88,3.8535,95.2312,4.1465,-15.2312,6.1651,-14.6237,4.8499,95.2588,17.0694,50,28.5714,18.6567,9.7087,19.1489,15.6863,17.9487,0,0,0,0,0,4,5,0,0,0,0,0,0,0,11.7168,14.6461,0,0,0,0,24,7,8,9,29.1667,33.3333,37.5
6,GRENIER, ALEXANDRE,Vancouver,F(RW),3,19.45,0,1,0,3.085,0,1.925,2.6723,41.87,-1.925,0.4125,-41.87,-1.1038,-0.2267,-25,2.8185,2.4998,53,9,6,0,83.3333,83.3333,6.4226,90.9219,-6.4226,-7.5885,-3.7037,-7.2917,9.1527,91.4434,19,9,58.612,27.763,67.86,2.8645,-23.0348,15.53,3.7876,-31.844,19.95,57.8556,55.4563,51.06,0,88.8889,88.8889,3.4531,94.7394,-3.4531,-5.8505,-2.0134,-5.5556,4.8716,95.4923,10.6566,0,10,11.3095,5.2632,16.9492,6.1538,11.5385,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3.0848,12.3393,0,0,0,0,20,6,4,10,30,20,50
7,JENSEN, NICKLAS,NY Rangers,F(LW),7,64.4,2,2,1.863,1.863,50,2.9158,2.6058,52.81,-1.0524,-0.7424,-2.81,-1.166,0.0121,-12.07,2.4006,2.6579,47.46,37,25,5.4054,92,97.4054,9.7647,91.116,-4.3593,0.884,-4.8219,-0.7632,8.2012,91.2188,79,41,73.602,38.199,65.83,17.8418,-16.8966,15.53,20.0847,-15.4874,15.91,53.8844,55.9787,49.05,2.5316,95.1219,97.6535,5.2291,95.2704,-2.6975,-0.1485,-3.1287,-1.4298,4.4551,95.252,15.2999,10,15.3846,19.8992,11.3889,19.3277,5.5556,14.1667,0,0,0,0,0,8,18,0,0,0,0,0,0,0,7.4534,16.7702,0,0,0,0,48,17,8,23,35.4167,16.6667,47.9167
8,SOBOTKA, VLADIMIR,St. Louis,F(C),1,16.6833,1,1,3.596,3.596,50,2.9878,2.4058,55.4,0.6086,1.1906,-5.4,0.8261,2.2113,-16.67,2.3484,3.0678,43.36,11,8,9.0909,87.5,96.5909,10.4239,91.5305,-1.3329,-4.0305,-3.4091,-8.6538,7.8105,89.6231,21,12,75.524,43.157,63.64,22.2297,-9.7292,13.44,33.97,-19.1748,23.64,56.92,52.4801,52.03,4.7619,91.6667,96.4286,5.6062,95.451,-0.8443,-3.7843,-1.9048,-6.1111,4.1258,94.1544,27.8056,33.3333,50,41.1765,21.0526,60.7143,23.5294,18.75,1,0,0,1,1,2,4,50,25,3.5964,0,0,3.5964,3.5964,7.1928,14.3856,100,0,100,100,24,3,4,17,12.5,16.6667,70.8333
9,MORIN, SAMUEL,Philadelphia,D,1,17.7833,0,0,0,0,0,2.7879,2.6339,51.42,-2.7879,-2.6339,-51.42,0,-1.3889,0,2.1046,2.7787,43.1,7,4,0,100,100,8.444,90.6871,-8.444,9.3129,0,4.3478,7.2181,90.3665,14,8,47.235,26.992,63.64,-15.3905,-25.3593,9.17,-8.3203,-17.4529,8.08,51.5661,49.6145,50.96,0,100,100,4.4516,94.9687,-4.4516,5.0313,0,3.125,4.0813,94.3994,29.161,0,0,25.9259,20,20,15.7895,17.6471,0,0,0,0,0,2,4,0,0,0,0,0,0,0,6.7479,13.4958,0,0,0,0,9,3,3,3,33.3333,33.3333,33.3333
10,BRODZINSKI, JONNY,Los Angeles,F(C),6,73.7167,3,1,2.442,0.814,75,2.3122,2.3799,49.28,0.1296,-1.566,25.72,0.3492,-2.1156,33.33,2.7623,2.4032,53.48,47,27,6.383,96.2963,102.6793,7.4258,90.3065,-1.0428,5.9898,-1.617,6.6667,9.2651,91.7288,86,50,69.998,40.696,63.24,8.6932,-7.4857,7.24,15.801,-14.3373,13.62,55.4474,53.8026,50.75,3.4884,98,101.4884,3.7717,95.0606,-0.2833,2.9394,-0.3726,3.3232,4.9819,95.5333,20.4513,23.0769,6.6667,24.9275,15.9744,19.1667,19.8413,19.1919,0,2,1,2,1,17,30,0,0,0,1.6279,0.8139,1.6279,0.8139,13.8368,24.4178,0,66.67,66.67,33.33,67,19,25,23,28.3582,37.3134,34.3284
