Rank,LastName,FirstName,Team,Pos,GP,TOI,GF,GA,GF60,GA60,GF%,TM GF60,TM GA60,TM GF%,GF60 RelTM,GA60 RelTM,GF% RelTM,GF60 Rel,GA60 Rel,GF% Rel,Opp GF60,Opp GA60,Opp GF%,SF,SA,Sh%,Sv%,PDO,TM Sh%,TM Sv%,Sh% RelTM,Sv% RelTM,Sh% Rel,Sv% Rel,Opp Sh%,Opp Sv%,CF,CA,CF60,CA60,CF%,CF60 RelTM,CA60 RelTM,CF% RelTM,CF60 Rel,CA60 Rel,CF% Rel,Opp CF60,Opp CA60,Opp CF%,CSh%,CSv%,CPDO,TM CSh%,TM CSv%,CSh% RelTM,CSv% RelTM,CSh% Rel,CSv% Rel,Opp CSh%,Opp CSv%,%ofTeam TOI,%ofTeam GF,%ofTeam GA,%ofTeam CF,%ofTeam CA,%ofTeam OZFO,%ofTeam DZFO,%ofTeam NZFO,G,A,FirstA,Pts,Pri. Pts,Shots,iCorsi,iSh%,iCSh%,Goals per60,Assists per60,FirstA per60,Points per60,Pri.Pts  per60,Shots per60,iCorsi per60,IGP,IAP,IPP,IPPP,TotFO,NZFO,DZFO,OZFO,NZFO%,DZFO%,OZFO%,
1,JONES, BLAIR,Tampa Bay,F(C),4,7.66667,0,0,0,0,0,2.1979,3.0347,42,-2.1979,-3.0347,-42,-1.8077,-3.6155,-33.33,2.7821,2.9316,48.69,4,3,0,100,100,8.2357,89.2978,-8.2357,10.7022,-6.6038,11.4754,9.9128,90.4869,15,4,117.391,31.304,78.95,70.6459,-21.1229,31.81,69.0986,-22.4116,31.61,49.5918,53.2523,48.22,0,100,100,4.7019,94.2115,-4.7019,5.7885,-3.7433,6.7308,5.6101,94.4949,3.1944,0,0,7.4257,1.8868,5.1282,1.8182,4.9383,0,0,0,0,0,1,3,0,0,0,0,0,0,0,7.8261,23.4783,0,0,0,0,9,4,1,4,44.4444,11.1111,44.4444
2,PIHLSTROM, ANTTI,Nashville,F(LW),1,9.13333,0,1,0,6.569,0,3.0571,2.6335,53.72,-3.0571,3.9358,-53.72,-1.1796,4.2102,-33.33,2.5877,2.5295,50.57,7,2,0,50,50,9.8014,90.6717,-9.8014,-40.6717,-4,-35.7143,9.6266,90.405,10,3,65.693,19.708,76.92,10.8085,-27.8782,23.36,5.5362,-14.499,13.17,45.7854,51.4909,47.07,0,66.6667,66.6667,5.57,94.4657,-5.57,-27.7991,-1.9608,-26.4368,5.6518,95.0875,15.2222,0,33.3333,16.3934,9.375,20.8333,7.6923,5.2632,0,0,0,0,0,1,2,0,0,0,0,0,0,0,6.5693,13.1387,0,0,0,0,7,1,1,5,14.2857,14.2857,71.4286
3,MALMIVAARA, OLLI,New Jersey,D,2,17.6,2,0,6.818,0,100,2.4722,2.1503,53.48,4.346,-2.1503,46.52,2.6446,-1.7887,30,2.5658,2.8911,47.02,8,2,25,100,125,8.3093,91.5438,16.6907,8.4562,8.7209,6.8182,8.9093,89.5286,16,5,54.545,17.045,76.19,0.7472,-26.865,21.13,12.8098,-33.6336,31.03,52.9028,51.0903,50.87,12.5,100,112.5,4.5954,95.103,7.9046,4.897,2.5,3.5294,4.85,94.3412,14.8858,22.2222,0,18.6047,5.5556,28,11.1111,6.5217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,4,7,21.4286,28.5714,50
4,IGGULDEN, MIKE,San Jose,F(C),1,6.66667,0,1,0,9,0,2.5986,2.1634,54.57,-2.5986,6.8366,-54.57,-2.25,6.75,-50,2.2798,2.5824,46.89,1,1,0,0,0,8.9355,90.6266,-8.9355,-90.6266,-6.8966,-90,7.541,90.701,8,3,72,27,72.73,19.8095,-17.9236,18.99,19.125,-20.25,19.92,53.0279,52.9293,50.05,0,66.6667,66.6667,4.9791,95.1842,-4.9791,-28.5175,-4.2553,-28.5714,4.2993,95.121,11.1111,0,33.3333,14.5455,6.6667,27.2727,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,9,18,0,0,0,0,6,0,0,6,0,0,100
5,HOLMSTROM, TOMAS,Detroit,F(LW),59,1034.2,80,31,4.641,1.798,72.07,3.4901,2.2311,61,1.1512,-0.4326,11.07,2.384,-0.5999,23.59,2.8156,2.5611,52.37,783,331,10.2171,90.6344,100.8515,10.2601,90.6364,-0.043,-0.0019,2.5125,0.1494,9.6972,90.6306,1383,551,80.236,31.967,71.51,22.0938,-10.2224,13.56,29.8,-12.8731,18.57,51.9098,48.5489,51.67,5.7845,94.3739,100.1584,6.0026,94.7117,-0.2181,-0.3379,1.309,-0.2774,5.424,94.7247,28.8403,45.4545,23.3083,39.2007,22.4166,36.0368,21.3665,28.4252,20,20,9,40,29,137,236,14.598540146,8.47457627119,1.1603,1.1603,0.5221,2.3206,1.6825,7.9482,13.6917,25,25,50,36.25,964,361,172,431,37.4481,17.8423,44.7095
6,WILSON, CLAY,Columbus,D,7,118.433,7,2,3.546,1.013,77.78,2.1419,2.4626,46.52,1.4044,-1.4493,31.26,2.7634,-2.3139,58.73,2.3844,2.6969,46.93,91,33,7.6923,93.9394,101.6317,7.5198,90.6218,0.1725,3.3176,4.8754,5.3488,8.7693,90.2965,154,62,78.019,31.41,71.3,27.6917,-13.7785,18.61,30.4596,-18.4975,22.5,46.7092,49.2257,48.69,4.5455,96.7742,101.3197,4.256,94.5505,0.2895,2.2237,2.8994,3.4409,5.1049,94.5213,27.8667,63.6364,10.5263,38.7909,19.5584,45.4545,11.5702,28.777,1,1,1,2,2,12,25,8.33333333333,4,0.5066,0.5066,0.5066,1.0132,1.0132,6.0794,12.6654,14.29,14.29,28.57,28.57,114,40,14,60,35.0877,12.2807,52.6316
7,HUDLER, JIRI,Detroit,F(C),81,1066.65,57,27,3.206,1.519,67.86,2.6248,2.1414,55.07,0.5815,-0.6226,12.79,0.244,-0.7887,11.64,2.5935,2.5484,50.44,702,325,8.1197,91.6923,99.812,8.301,91.221,-0.1813,0.4713,-1.0326,1.0713,9.2105,90.7315,1186,574,66.714,32.288,67.39,11.7686,-10.2465,11.02,10.6796,-10.5716,10.73,49.9471,48.8362,50.56,4.8061,95.2962,100.1023,4.7772,94.9655,0.0289,0.3307,-0.4805,0.6799,5.1925,94.7817,21.7018,23.0769,15.4286,24.8117,17.2735,24.2962,11.8375,17.2276,13,29,18,42,31,131,203,9.92366412214,6.4039408867,0.7313,1.6313,1.0125,2.3625,1.7438,7.3689,11.4189,22.81,50.88,73.68,54.39,833,302,134,397,36.2545,16.0864,47.6591
8,BICKELL, BRYAN,Chicago,F(LW),4,36.5333,0,1,0,1.642,0,2.7934,2.5024,52.75,-2.7934,-0.8601,-52.75,-3.8336,0.1679,-72.22,2.5209,2.1505,53.97,22,10,0,90,90,9.8495,90.5423,-9.8495,-0.5423,-14.9425,-3.0556,8.8402,91.5914,33,16,54.197,26.277,67.35,6.9652,-17.3442,15.36,13.7973,-9.1093,14.04,51.0989,45.4708,52.91,0,93.75,93.75,5.9141,94.2634,-5.9141,-0.5134,-9.4891,-2.0833,4.9335,95.2707,15.2222,0,16.6667,19.4118,11.7647,13.4328,7.0175,8.1395,0,0,0,0,0,3,5,0,0,0,0,0,0,0,4.927,8.2117,0,0,0,0,20,7,4,9,35,20,45
9,DATSYUK, PAVEL,Detroit,F(C),82,1751.12,142,56,4.865,1.919,71.72,2.1526,2.2609,48.77,2.7129,-0.3421,22.94,2.8747,-0.351,24.99,2.8818,2.5027,53.52,1204,580,11.794,90.3448,102.1388,6.5482,91.449,5.2458,-1.1041,5.1398,-0.6047,9.7748,90.6812,2116,1034,72.502,35.429,67.17,17.1565,-8.391,11.36,21.4504,-7.8463,13.05,52.5729,47.5297,52.52,6.7108,94.5841,101.2949,3.8893,94.8404,2.8214,-0.2563,2.8114,-0.1708,5.4816,94.7344,35.1908,57.0281,31.4607,43.5391,30.7738,38.1555,33.9474,34.7458,31,67,44,98,75,262,436,11.8320610687,7.11009174312,1.0622,2.2957,1.5076,3.3579,2.5698,8.9771,14.939,21.83,47.18,69.01,52.82,1635,615,387,633,37.6147,23.6697,38.7156
10,ZETTERBERG, HENRIK,Detroit,F(LW),75,1654.3,126,63,4.57,2.285,66.67,2.6384,2.0138,56.71,1.9315,0.2711,9.95,2.4815,0.0518,18.34,2.9042,2.5088,53.65,1183,574,10.6509,89.0244,99.6753,8.3849,91.7255,2.266,-2.7011,3.4159,-1.8463,9.7969,90.5991,2026,1012,73.481,36.704,66.69,18.6293,-5.3298,10.07,23.2567,-5.6009,12.41,52.8283,47.2087,52.81,6.2192,93.7747,99.9939,4.81,95.2091,1.4091,-1.4344,2.0611,-0.9467,5.4974,94.6858,36.3098,55.5066,36.8421,45.477,33.0935,37.6471,36.5034,35.5474,43,47,26,90,69,356,563,12.0786516854,7.63765541741,1.5596,1.7046,0.943,3.2642,2.5026,12.9118,20.4195,34.13,37.3,71.43,54.76,1534,578,380,576,37.6793,24.7718,37.5489
